Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
0.000755205,0.00201173,0.003256,0.00441877,0.005491,0.00648567,0.00742801,0.00834661
0.00074945,0.00199509,0.00322677,0.00437665,0.00543635,0.00641908,0.00735011,0.00825789
0.000743032,0.001976,0.00319248,0.00432619,0.00536949,0.00633609,0.00725151,0.00814427
0.000733248,0.00194839,0.00314475,0.00425793,0.00528103,0.00622803,0.00712454,0.00799905
0.000718736,0.0019075,0.0030744,0.00415802,0.00515271,0.00607282,0.00694388,0.00779399
0.000703136,0.00186163,0.00299295,0.00403925,0.00499664,0.0058804,0.00671655,0.00753312
0.000691777,0.00182583,0.0029264,0.00393857,0.00485998,0.00570718,0.00650726,0.00728886
0.000687345,0.00181022,0.00289587,0.00389068,0.00479281,0.00561952,0.00639874,0.0071598
0.000687841,0.00181203,0.0029005,0.0038992,0.0048055,0.00563616,0.00641885,0.0071829
0.000688793,0.00181868,0.00291827,0.00393223,0.00485656,0.00570664,0.00650891,0.00729188
0.00068761,0.0018196,0.00292618,0.00395099,0.00488912,0.0057549,0.00657358,0.00737271
0.000686447,0.00181723,0.00292327,0.00394786,0.00488614,0.00575254,0.00657225,0.00737268
0.00069003,0.00182459,0.00293184,0.00395456,0.00488833,0.00574847,0.00656123,0.00735484
0.000695938,0.00184004,0.00295637,0.00398648,0.00492556,0.00578917,0.00660415,0.00739949
0.000701141,0.0018561,0.0029862,0.0040318,0.00498729,0.00586747,0.00669865,0.00750951
0.000709479,0.00188063,0.00303029,0.00409714,0.00507475,0.00597733,0.00683064,0.007663
0.000719511,0.00191067,0.00308434,0.00417649,0.00517932,0.00610643,0.00698328,0.00783829
0.00072493,0.00192897,0.00311967,0.00423115,0.00525457,0.00620268,0.00710026,0.00797534
0.000722802,0.00192528,0.00311591,0.00422895,0.00525569,0.00620858,0.00711179,0.0079927
0.000711731,0.00189446,0.00306242,0.00415209,0.00515613,0.00608758,0.00697069,0.00783258
0.000701254,0.00185936,0.00299382,0.00404488,0.00500783,0.00589766,0.00674008,0.00756288
0.000710003,0.00187298,0.00300243,0.00403949,0.00498111,0.00584476,0.00665906,0.00745409
0.00073263,0.00193445,0.00310568,0.00418298,0.0051607,0.00605565,0.0068973,0.00771734
0.000749641,0.00199296,0.00322238,0.0043692,0.00542322,0.00639708,0.0073167,0.00821178
0.000761291,0.00203587,0.00331152,0.00451561,0.00563509,0.00667958,0.00767139,0.00863732
0.000767216,0.00205745,0.00335436,0.0045822,0.00572682,0.00679727,0.00781528,0.0088072
0.000753083,0.00202021,0.00329109,0.00449164,0.0056091,0.0066532,0.00764604,0.00861404
0.000710945,0.00190051,0.00308108,0.00418787,0.00521336,0.00616956,0.00707905,0.00796749
0.000652782,0.00172682,0.00276703,0.00372356,0.00459712,0.00540437,0.00617038,0.00692109
0.000600499,0.00156103,0.00245655,0.00325249,0.00395763,0.00459468,0.00519349,0.00578245
0.000560577,0.00143374,0.00221932,0.00289428,0.00347179,0.00397831,0.00444732,0.00490956
0.000532672,0.00135045,0.00207339,0.0026856,0.00320137,0.00364732,0.00405697,0.00446095
0.000523241,0.00132597,0.00203791,0.00264436,0.00315844,0.00360524,0.00401672,0.00442222
0.000540629,0.00137872,0.00213666,0.0027939,0.00336004,0.00385816,0.00431912,0.00477199
0.000590369,0.00152261,0.00239153,0.00316382,0.00384304,0.0044497,0.00501399,0.00556581
0.000670731,0.00175602,0.00280455,0.00376372,0.00462788,0.00541322,0.00614844,0.00686424
0.000772448,0.00205604,0.00334083,0.00454947,0.0056642,0.00669477,0.00766655,0.00861003
0.000892155,0.00240883,0.00397096,0.00547257,0.00688219,0.00820238,0.00945453,0.0106686
0.00102088,0.00278947,0.0046505,0.00646657,0.00819152,0.00982056,0.0113713,0.0128736
0.00113103,0.00312316,0.00525405,0.00735785,0.00937504,0.0112931,0.0131249,0.014899
0.00121015,0.00336324,0.00568647,0.0079951,0.0102222,0.0123507,0.0143895,0.0163653
0.00125812,0.0035031,0.00592685,0.00833511,0.0106598,0.012884,0.0150167,0.0170846
0.00127001,0.00353184,0.00596191,0.00836646,0.0106815,0.012893,0.0150127,0.0170688
0.00124592,0.00345258,0.00580291,0.00811389,0.0103301,0.0124426,0.0144661,0.0164301
0.00120047,0.0033066,0.00552214,0.00768136,0.00973989,0.0116952,0.0135659,0.015383
0.00115606,0.00315919,0.00523529,0.00723644,0.00912861,0.0109158,0.0126215,0.014279
0.00112789,0.00306077,0.00504028,0.0069314,0.0087063,0.0103731,0.011959,0.0134997
0.00112738,0.00304827,0.00500748,0.00687472,0.00862277,0.0102602,0.0118155,0.0133253
0.00115223,0.00312075,0.00514081,0.00707706,0.00889681,0.0106052,0.0122284,0.0138027
0.00118596,0.00323103,0.00535645,0.00741597,0.00936811,0.0112116,0.0129677,0.0146701
0.00121688,0.00333555,0.00556319,0.00774229,0.00982379,0.0118009,0.01369,0.0155217
0.00123954,0.00341023,0.00570637,0.00796191,0.0101236,0.0121824,0.0141525,0.0160636
0.0012507,0.00344386,0.00576454,0.00804277,0.010225,0.0123028,0.0142913,0.0162206
0.00123826,0.00340919,0.00570123,0.00794635,0.0100936,0.0121361,0.0140903,0.0159866
0.00118868,0.00327028,0.00545908,0.00759782,0.00964159,0.0115857,0.0134465,0.0152536
0.00110156,0.00302022,0.00501828,0.00695889,0.00880802,0.0105655,0.0122489,0.013886
0.000978592,0.00266226,0.00438242,0.00603084,0.00758824,0.00906164,0.0104719,0.0118466
0.000820407,0.00219905,0.00355955,0.00483077,0.00601075,0.00711537,0.00816994,0.00920201
0.000632121,0.00164576,0.00257853,0.00340425,0.00413979,0.00481067,0.00544687,0.0060756
0.000418126,0.0010222,0.00148153,0.00181625,0.00206238,0.00225553,0.0024304,0.00261376
0.000209312,0.00041673,0.00041918,0.000273079,3.33673e-05,-0.000252601,-0.000543258,-0.000810107
6.437e-05,-8.79995e-06,-0.000332762,-0.000833811,-0.00144446,-0.00210637,-0.00276871,-0.00339747
2.20649e-05,-0.000136414,-0.000555272,-0.00116373,-0.00189554,-0.0026894,-0.00348912,-0.00425546
0.000110536,0.000117258,-0.000100747,-0.000496413,-0.00101827,-0.00161205,-0.00222368,-0.00281252
0.000349769,0.000806014,0.00111777,0.00128281,0.00132369,0.00127868,0.00119428,0.00111072
0.00072656,0.00189797,0.00305297,0.00410984,0.00504699,0.00587847,0.00663881,0.00736712
0.00116838,0.00320938,0.00541222,0.00758968,0.00966272,0.0116132,0.0134574,0.0152309
0.00157796,0.00446047,0.00770177,0.0110074,0.0142402,0.0173469,0.0203205,0.0231882
0.0019187,0.00549899,0.00958901,0.0138072,0.0179767,0.0220206,0.0259148,0.0296797
0.00218156,0.0062744,0.0109505,0.0157677,0.0205307,0.0251562,0.0296177,0.0339366
0.00233986,0.00672026,0.0116906,0.0167819,0.0217989,0.0266627,0.031352,0.035894
0.00238155,0.0068133,0.0117921,0.0168576,0.0218308,0.0266434,0.0312816,0.0357764
0.00232021,0.00660013,0.0113497,0.0161441,0.0208307,0.0253561,0.0297155,0.033943
0.00218541,0.00617012,0.0105258,0.0148798,0.0191113,0.0231842,0.0271045,0.03091
0.00201283,0.00562954,0.00951184,0.013347,0.0170465,0.0205917,0.0239994,0.0273111
0.00184664,0.00510601,0.00853394,0.0118751,0.0150687,0.0181111,0.021029,0.0238672
0.00169579,0.00464545,0.00769779,0.0106427,0.0134361,0.0160829,0.018615,0.0210789
0.00152659,0.00416499,0.00687536,0.00948637,0.0119629,0.0143098,0.0165561,0.0187435
0.00132897,0.00361212,0.00593888,0.00818007,0.0103125,0.0123417,0.0142912,0.0161945
0.00109645,0.00295268,0.00480305,0.00656597,0.00823573,0.0098241,0.0113546,0.0128556
0.000805799,0.00211871,0.0033504,0.0044798,0.00552534,0.00650966,0.00746,0.00840217
0.000431448,0.00105149,0.0014983,0.00181929,0.00206422,0.00227129,0.00247353,0.00269411
-4.15397e-05,-0.00027896,-0.000787043,-0.00144897,-0.00217896,-0.00292066,-0.00363425,-0.00429861
-0.00056502,-0.00177072,-0.00336546,-0.00514892,-0.00699423,-0.00882344,-0.010588,-0.0122689
-0.00103772,-0.00316331,-0.00583431,-0.00875302,-0.0117449,-0.0147026,-0.0175623,-0.0203038
-0.00139261,-0.00424038,-0.00779554,-0.0116739,-0.0156569,-0.0196073,-0.0234409,-0.0271307
-0.00161414,-0.00492426,-0.00905009,-0.0135489,-0.0181768,-0.02278,-0.0272609,-0.0315864
-0.00169755,-0.00518129,-0.00950381,-0.0142002,-0.0190246,-0.0238243,-0.0285019,-0.0330244
-0.00165136,-0.00502668,-0.00917923,-0.0136641,-0.0182578,-0.0228237,-0.0272754,-0.0315838
-0.00150816,-0.00456465,-0.0082805,-0.0122629,-0.0163263,-0.0203599,-0.0242944,-0.0281084
-0.0012858,-0.00387775,-0.00699743,-0.0103223,-0.0137078,-0.017068,-0.0203497,-0.0235371
-0.000991307,-0.00299887,-0.00540724,-0.00797815,-0.0106084,-0.0132323,-0.0158058,-0.0183125
-0.000649529,-0.00198661,-0.00359656,-0.00533347,-0.00713526,-0.00895567,-0.0107581,-0.0125233
-0.000270888,-0.000870047,-0.00161507,-0.00245381,-0.00336204,-0.00431171,-0.00527424,-0.00622896
0.000155505,0.000367476,0.00055134,0.000669485,0.00071049,0.000686336,0.000619309,0.000532265
0.00062495,0.0017126,0.00288632,0.00402198,0.00507172,0.00603089,0.00691582,0.00775254
0.00110503,0.00309636,0.00530693,0.00751832,0.00963942,0.0116447,0.0135424,0.015361
0.00157696,0.00447265,0.00773983,0.0110585,0.0142887,0.0173809,0.0203328,0.023175
0.00205015,0.00585355,0.0101759,0.0145945,0.0189238,0.0230928,0.0270902,0.0309493
0.00252842,0.00723972,0.0126008,0.0180887,0.0234775,0.0286787,0.0336751,0.0385042
0.00300463,0.00860922,0.0149774,0.0214933,0.0278959,0.0340825,0.0400317,0.045786
0.00342311,0.00982377,0.0170932,0.0245376,0.0318661,0.0389609,0.0457938,0.0524091
0.00370269,0.0106513,0.0185459,0.0266502,0.0346578,0.0424369,0.0499474,0.0572288
0.0038095,0.0109582,0.019053,0.0273641,0.0355954,0.0436153,0.0513777,0.0589139
0.00370855,0.0106395,0.0184137,0.0263586,0.0342194,0.0418841,0.0493134,0.0565341
0.00334593,0.00955559,0.0163942,0.0233079,0.0301213,0.0367623,0.0432085,0.0494902
0.00272432,0.00769216,0.0129678,0.0181839,0.023278,0.0282364,0.0330654,0.0377995
0.00189793,0.00520021,0.00842029,0.0114303,0.0142933,0.0170619,0.0197794,0.0224831
0.000916383,0.00224954,0.00310234,0.00361874,0.00397657,0.00428819,0.00462881,0.00503942
-0.000209142,-0.00104448,-0.00269886,-0.00478421,-0.00702042,-0.00924472,-0.0113605,-0.0133302
