IM,MaxRoofDisp,MaxStoryDrift,Drift_1001-1002,Drift_Node_1002-Node_1003,Drift_Node_1003-Node_1004,Drift_Node_1004-Node_1005,Drift_Node_1005-Node_1006,Drift_Node_1006-Node_1007,Drift_Node_1007-Node_1008,SourceFile
0.100000,0.000974,0.005033,0.004300,0.003900,0.004533,0.004900,0.005033,0.005033,0.004900,Diaphragms_IDA_UX_0.1.csv
0.200000,0.001642,0.008400,0.007633,0.006733,0.007767,0.008233,0.008400,0.008233,0.007967,Diaphragms_IDA_UX_0.2.csv
0.300000,0.002304,0.011700,0.010900,0.009600,0.010967,0.011567,0.011700,0.011467,0.011000,Diaphragms_IDA_UX_0.3.csv
0.400000,0.002962,0.015033,0.014167,0.012433,0.014133,0.014900,0.015033,0.014600,0.014033,Diaphragms_IDA_UX_0.4.csv
0.500000,0.003614,0.018300,0.017433,0.015167,0.017300,0.018200,0.018300,0.017767,0.017000,Diaphragms_IDA_UX_0.5.csv
0.600000,0.004262,0.021567,0.020633,0.017967,0.020433,0.021467,0.021567,0.020933,0.019967,Diaphragms_IDA_UX_0.6.csv
0.700000,0.004908,0.024833,0.023867,0.020767,0.023533,0.024733,0.024833,0.024033,0.022933,Diaphragms_IDA_UX_0.7.csv
0.800000,0.005568,0.028133,0.027167,0.023500,0.026600,0.028100,0.028133,0.027233,0.025967,Diaphragms_IDA_UX_0.8.csv
0.900000,0.006247,0.031533,0.030433,0.026300,0.029833,0.031500,0.031533,0.030500,0.029033,Diaphragms_IDA_UX_0.9.csv
1.000000,0.006934,0.034967,0.033700,0.029100,0.033133,0.034933,0.034967,0.033800,0.032133,Diaphragms_IDA_UX_1.0.csv
1.100000,0.007638,0.038467,0.036933,0.032100,0.036533,0.038467,0.038433,0.037133,0.035333,Diaphragms_IDA_UX_1.1.csv
1.200000,0.008370,0.042100,0.040733,0.035267,0.040067,0.042100,0.042033,0.040600,0.038600,Diaphragms_IDA_UX_1.2.csv
1.300000,0.009126,0.045833,0.045600,0.038567,0.043700,0.045833,0.045733,0.044167,0.041933,Diaphragms_IDA_UX_1.3.csv
1.400000,0.009904,0.050900,0.050900,0.042000,0.047433,0.049667,0.049567,0.047767,0.045333,Diaphragms_IDA_UX_1.4.csv
1.500000,0.010703,0.056733,0.056733,0.046233,0.051267,0.053633,0.053400,0.051467,0.048867,Diaphragms_IDA_UX_1.5.csv
1.600000,0.011511,0.063100,0.063100,0.051133,0.055700,0.057600,0.057300,0.055200,0.052367,Diaphragms_IDA_UX_1.6.csv
1.700000,0.012670,0.070033,0.070033,0.056400,0.061267,0.062300,0.061133,0.058833,0.055800,Diaphragms_IDA_UX_1.7.csv
1.800000,0.013910,0.077433,0.077433,0.062000,0.067200,0.068233,0.066400,0.063033,0.059367,Diaphragms_IDA_UX_1.8.csv
1.900000,0.015207,0.085167,0.085167,0.067867,0.073400,0.074433,0.072433,0.068767,0.064833,Diaphragms_IDA_UX_1.9.csv
2.000000,0.016568,0.093233,0.093233,0.074033,0.079900,0.080900,0.078767,0.074833,0.070600,Diaphragms_IDA_UX_2.0.csv
2.100000,0.017975,0.101533,0.101533,0.080433,0.086600,0.087600,0.085300,0.081067,0.076633,Diaphragms_IDA_UX_2.1.csv
2.200000,0.019418,0.110100,0.110100,0.086933,0.093467,0.094500,0.091967,0.087533,0.083100,Diaphragms_IDA_UX_2.2.csv
2.300000,0.020893,0.118800,0.118800,0.093600,0.100467,0.101533,0.099267,0.095367,0.090667,Diaphragms_IDA_UX_2.3.csv
2.400000,0.022397,0.127533,0.127533,0.100400,0.107600,0.109300,0.107767,0.103567,0.098600,Diaphragms_IDA_UX_2.4.csv
2.500000,0.024210,0.136333,0.136333,0.107267,0.115400,0.118200,0.116567,0.112133,0.106867,Diaphragms_IDA_UX_2.5.csv
2.600000,0.026164,0.145333,0.145333,0.114933,0.124633,0.127567,0.125800,0.121067,0.115533,Diaphragms_IDA_UX_2.6.csv
2.700000,0.028211,0.154567,0.154567,0.124100,0.134300,0.137333,0.135433,0.130467,0.124667,Diaphragms_IDA_UX_2.7.csv
2.800000,0.030344,0.166067,0.166067,0.133600,0.144367,0.147500,0.145500,0.140267,0.134167,Diaphragms_IDA_UX_2.8.csv
2.900000,0.032520,0.178300,0.178300,0.143267,0.154600,0.157900,0.155767,0.150267,0.143900,Diaphragms_IDA_UX_2.9.csv
3.000000,0.034690,0.190200,0.190200,0.152867,0.164867,0.168267,0.166067,0.160367,0.153700,Diaphragms_IDA_UX_3.0.csv
3.100000,0.036852,0.201900,0.201900,0.162467,0.175067,0.178700,0.176333,0.170400,0.163533,Diaphragms_IDA_UX_3.1.csv
3.200000,0.038980,0.213367,0.213367,0.171933,0.185133,0.188900,0.186500,0.180300,0.173200,Diaphragms_IDA_UX_3.2.csv
3.300000,0.041050,0.224500,0.224500,0.181033,0.194933,0.198833,0.196400,0.189967,0.182667,Diaphragms_IDA_UX_3.3.csv
3.400000,0.043012,0.235000,0.235000,0.189667,0.204200,0.208267,0.205767,0.199167,0.191667,Diaphragms_IDA_UX_3.4.csv
3.500000,0.044864,0.244933,0.244933,0.197767,0.212900,0.217167,0.214600,0.207900,0.200200,Diaphragms_IDA_UX_3.5.csv
3.600000,0.046537,0.253867,0.253867,0.205067,0.220767,0.225200,0.222600,0.215767,0.207967,Diaphragms_IDA_UX_3.6.csv
3.700000,0.048106,0.262400,0.262400,0.211933,0.228133,0.232700,0.230067,0.223100,0.215200,Diaphragms_IDA_UX_3.7.csv
3.800000,0.046716,0.241067,0.241067,0.203467,0.222933,0.229467,0.227600,0.220600,0.212200,Diaphragms_IDA_UX_3.8.csv
3.900000,0.047943,0.252700,0.252700,0.208300,0.227933,0.234933,0.233700,0.227233,0.219000,Diaphragms_IDA_UX_3.9.csv
4.000000,0.049348,0.271300,0.271300,0.214333,0.234600,0.241767,0.240533,0.234000,0.225667,Diaphragms_IDA_UX_4.0.csv
4.100000,0.053433,0.293200,0.293200,0.235133,0.251533,0.256400,0.254667,0.248667,0.241500,Diaphragms_IDA_UX_4.1.csv
4.200000,0.055158,0.341267,0.341267,0.252900,0.259733,0.257133,0.253300,0.247567,0.240600,Diaphragms_IDA_UX_4.2.csv
4.300000,0.061674,0.365267,0.365267,0.269833,0.294167,0.301933,0.299767,0.291633,0.281800,Diaphragms_IDA_UX_4.3.csv
4.400000,0.061683,0.353733,0.353733,0.269400,0.294933,0.302733,0.300467,0.292267,0.282433,Diaphragms_IDA_UX_4.4.csv
4.500000,0.069132,0.378500,0.378500,0.300900,0.330600,0.340867,0.338133,0.327967,0.316467,Diaphragms_IDA_UX_4.5.csv
4.600000,0.067224,0.385700,0.385700,0.292067,0.319433,0.329467,0.327600,0.318833,0.308767,Diaphragms_IDA_UX_4.6.csv
4.700000,0.093844,0.485500,0.485500,0.406733,0.444100,0.457967,0.456200,0.445167,0.432467,Diaphragms_IDA_UX_4.7.csv
4.800000,0.116243,0.633100,0.633100,0.502167,0.544000,0.561667,0.562300,0.552000,0.538733,Diaphragms_IDA_UX_4.8.csv
4.900000,0.174205,0.961067,0.961067,0.753067,0.809233,0.832167,0.832867,0.819000,0.801333,Diaphragms_IDA_UX_4.9.csv
5.000000,0.192492,1.037333,1.037333,0.825500,0.893900,0.923767,0.927533,0.913800,0.894567,Diaphragms_IDA_UX_5.0.csv
5.100000,0.195865,1.081400,1.081400,0.845233,0.908600,0.935300,0.936933,0.922100,0.902600,Diaphragms_IDA_UX_5.1.csv
5.200000,0.239612,1.321867,1.321867,1.030700,1.110900,1.144200,1.146600,1.128467,1.104333,Diaphragms_IDA_UX_5.2.csv
5.300000,0.251721,1.379833,1.379833,1.081267,1.169333,1.206167,1.210067,1.191200,1.165333,Diaphragms_IDA_UX_5.3.csv
5.400000,0.257551,1.409033,1.409033,1.100767,1.190333,1.229933,1.236267,1.220467,1.198233,Diaphragms_IDA_UX_5.4.csv
5.500000,0.287724,1.546200,1.546200,1.218333,1.332733,1.384700,1.397767,1.382333,1.357067,Diaphragms_IDA_UX_5.5.csv
5.600000,0.298522,1.638900,1.638900,1.276867,1.379267,1.423267,1.431333,1.413467,1.387633,Diaphragms_IDA_UX_5.6.csv
5.700000,0.307902,1.671600,1.671600,1.313833,1.427600,1.474767,1.481933,1.461200,1.432467,Diaphragms_IDA_UX_5.7.csv
5.800000,0.327921,1.772567,1.772567,1.396400,1.521833,1.573633,1.581200,1.558433,1.526633,Diaphragms_IDA_UX_5.8.csv
5.900000,0.414050,2.283433,2.283433,1.776833,1.916000,1.971933,1.979833,1.954833,1.918800,Diaphragms_IDA_UX_5.9.csv
6.000000,0.481638,2.695933,2.695933,2.075967,2.222200,2.280967,2.289967,2.264500,2.226900,Diaphragms_IDA_UX_6.0.csv
6.100000,0.546929,3.079033,3.079033,2.362800,2.519233,2.582067,2.592700,2.567000,2.528133,Diaphragms_IDA_UX_6.1.csv
6.200000,0.679173,3.791700,3.791700,2.928900,3.129967,3.212600,3.227767,3.197600,3.150567,Diaphragms_IDA_UX_6.2.csv
6.300000,0.781752,4.382967,4.382967,3.382967,3.602100,3.690033,3.706933,3.674100,3.621567,Diaphragms_IDA_UX_6.3.csv
6.400000,0.965694,5.386833,5.386833,4.176633,4.452500,4.562400,4.583467,4.545133,4.482833,Diaphragms_IDA_UX_6.4.csv
6.500000,1.114380,6.267100,6.267100,4.838900,5.140733,5.254033,5.269633,5.223000,5.152600,Diaphragms_IDA_UX_6.5.csv
6.600000,1.143790,6.438167,6.438167,4.972167,5.279200,5.392167,5.405500,5.356033,5.283100,Diaphragms_IDA_UX_6.6.csv
7.100000,1.211380,6.685933,6.685933,5.227767,5.602800,5.759633,5.780933,5.715033,5.624667,Diaphragms_IDA_UX_7.1.csv
7.200000,1.285260,7.112333,7.112333,5.546067,5.937867,6.100767,6.124000,6.057300,5.963667,Diaphragms_IDA_UX_7.2.csv
7.300000,0.949616,5.238733,5.238733,4.050000,4.369500,4.518300,4.548833,4.500267,4.428233,Diaphragms_IDA_UX_7.3.csv
