IM,MaxDisp,MaxDrift,Drift_1001-1002,Drift_Nodo_1002-Nodo_1003,Drift_Nodo_1003-Nodo_1004,Drift_Nodo_1004-Nodo_1005,Drift_Nodo_1005-Nodo_1006,Drift_Nodo_1006-Nodo_1007,Drift_Nodo_1007-Nodo_1008,Archivo
0.100000,0.000974,0.005036,0.004303,0.003895,0.004536,0.004887,0.005036,0.005022,0.004923,Diafragmas_IDA_UX_0.1.csv
0.200000,0.001642,0.008385,0.007621,0.006753,0.007761,0.008247,0.008385,0.008244,0.007971,Diafragmas_IDA_UX_0.2.csv
0.300000,0.002304,0.011712,0.010913,0.009589,0.010961,0.011583,0.011712,0.011444,0.011000,Diafragmas_IDA_UX_0.3.csv
0.400000,0.002962,0.015018,0.014180,0.012403,0.014138,0.014898,0.015018,0.014624,0.014010,Diafragmas_IDA_UX_0.4.csv
0.500000,0.003614,0.018301,0.017420,0.015196,0.017291,0.018190,0.018301,0.017782,0.016999,Diafragmas_IDA_UX_0.5.csv
0.600000,0.004262,0.021562,0.020632,0.017965,0.020419,0.021460,0.021562,0.020920,0.019969,Diafragmas_IDA_UX_0.6.csv
0.700000,0.004908,0.024821,0.023883,0.020737,0.023534,0.024735,0.024821,0.024053,0.022934,Diafragmas_IDA_UX_0.7.csv
0.800000,0.005568,0.028140,0.027153,0.023500,0.026624,0.028074,0.028140,0.027243,0.025951,Diafragmas_IDA_UX_0.8.csv
0.900000,0.006247,0.031529,0.030436,0.026288,0.029848,0.031484,0.031529,0.030499,0.029033,Diafragmas_IDA_UX_0.9.csv
1.000000,0.006934,0.034957,0.033693,0.029082,0.033159,0.034936,0.034957,0.033792,0.032149,Diafragmas_IDA_UX_1.0.csv
1.100000,0.007638,0.038454,0.036941,0.032111,0.036544,0.038454,0.038443,0.037139,0.035316,Diafragmas_IDA_UX_1.1.csv
1.200000,0.008370,0.042096,0.040734,0.035282,0.040061,0.042096,0.042044,0.040592,0.038581,Diafragmas_IDA_UX_1.2.csv
1.300000,0.009126,0.045846,0.045607,0.038571,0.043693,0.045846,0.045745,0.044138,0.041934,Diafragmas_IDA_UX_1.3.csv
1.400000,0.009904,0.050909,0.050909,0.041980,0.047435,0.049695,0.049537,0.047766,0.045364,Diafragmas_IDA_UX_1.4.csv
1.500000,0.010703,0.056719,0.056719,0.046244,0.051281,0.053635,0.053407,0.051467,0.048860,Diafragmas_IDA_UX_1.5.csv
1.600000,0.011511,0.063094,0.063094,0.051144,0.055709,0.057603,0.057298,0.055183,0.052372,Diafragmas_IDA_UX_1.6.csv
1.700000,0.012670,0.070019,0.070019,0.056406,0.061288,0.062284,0.061117,0.058832,0.055820,Diafragmas_IDA_UX_1.7.csv
1.800000,0.013910,0.077427,0.077427,0.062007,0.067212,0.068220,0.066411,0.063033,0.059373,Diafragmas_IDA_UX_1.8.csv
1.900000,0.015207,0.085157,0.085157,0.067873,0.073404,0.074419,0.072431,0.068783,0.064847,Diafragmas_IDA_UX_1.9.csv
2.000000,0.016568,0.093228,0.093228,0.074035,0.079897,0.080919,0.078751,0.074830,0.070617,Diafragmas_IDA_UX_2.0.csv
2.100000,0.017975,0.101548,0.101548,0.080405,0.086598,0.087625,0.085283,0.081087,0.076607,Diafragmas_IDA_UX_2.1.csv
2.200000,0.019418,0.110093,0.110093,0.086942,0.093463,0.094495,0.091977,0.087520,0.083080,Diafragmas_IDA_UX_2.2.csv
2.300000,0.020893,0.118786,0.118786,0.093620,0.100470,0.101510,0.099273,0.095350,0.090663,Diafragmas_IDA_UX_2.3.csv
2.400000,0.022397,0.127548,0.127548,0.100394,0.107595,0.109290,0.107767,0.103580,0.098603,Diafragmas_IDA_UX_2.4.csv
2.500000,0.024210,0.136343,0.136343,0.107255,0.115416,0.118210,0.116567,0.112120,0.106857,Diafragmas_IDA_UX_2.5.csv
2.600000,0.026164,0.145344,0.145344,0.114948,0.124647,0.127557,0.125793,0.121077,0.115533,Diafragmas_IDA_UX_2.6.csv
2.700000,0.028211,0.154569,0.154569,0.124079,0.134306,0.137333,0.135447,0.130470,0.124647,Diafragmas_IDA_UX_2.7.csv
2.800000,0.030344,0.166080,0.166080,0.133596,0.144368,0.147507,0.145500,0.140267,0.134160,Diafragmas_IDA_UX_2.8.csv
2.900000,0.032520,0.178290,0.178290,0.143277,0.154613,0.157883,0.155763,0.150270,0.143890,Diafragmas_IDA_UX_2.9.csv
3.000000,0.034690,0.190184,0.190184,0.152893,0.164850,0.168283,0.166073,0.160350,0.153700,Diafragmas_IDA_UX_3.0.csv
3.100000,0.036852,0.201888,0.201888,0.162492,0.175070,0.178667,0.176360,0.170403,0.163507,Diafragmas_IDA_UX_3.1.csv
3.200000,0.038980,0.213373,0.213373,0.171920,0.185140,0.188890,0.186500,0.180323,0.173197,Diafragmas_IDA_UX_3.2.csv
3.300000,0.041050,0.224489,0.224489,0.181054,0.194917,0.198850,0.196377,0.189997,0.182657,Diafragmas_IDA_UX_3.3.csv
3.400000,0.043012,0.235002,0.235002,0.189675,0.204180,0.208283,0.205750,0.199193,0.191657,Diafragmas_IDA_UX_3.4.csv
3.500000,0.044864,0.244918,0.244918,0.197776,0.212900,0.217180,0.214610,0.207897,0.200197,Diafragmas_IDA_UX_3.5.csv
3.600000,0.046537,0.253861,0.253861,0.205072,0.220763,0.225207,0.222603,0.215770,0.207947,Diafragmas_IDA_UX_3.6.csv
3.700000,0.048106,0.262396,0.262396,0.211934,0.228130,0.232700,0.230063,0.223117,0.215183,Diafragmas_IDA_UX_3.7.csv
3.800000,0.046716,0.241068,0.241068,0.203466,0.222947,0.229443,0.227607,0.220610,0.212203,Diafragmas_IDA_UX_3.8.csv
3.900000,0.047943,0.252716,0.252716,0.208286,0.227960,0.234910,0.233690,0.227243,0.219010,Diafragmas_IDA_UX_3.9.csv
4.000000,0.049348,0.271291,0.271291,0.214347,0.234593,0.241750,0.240553,0.234007,0.225643,Diafragmas_IDA_UX_4.0.csv
4.100000,0.053433,0.293190,0.293190,0.235133,0.251530,0.256413,0.254657,0.248677,0.241487,Diafragmas_IDA_UX_4.1.csv
4.200000,0.055158,0.341273,0.341273,0.252877,0.259743,0.257153,0.253303,0.247577,0.240590,Diafragmas_IDA_UX_4.2.csv
4.300000,0.061674,0.365273,0.365273,0.269827,0.294187,0.301923,0.299750,0.291660,0.281797,Diafragmas_IDA_UX_4.3.csv
4.400000,0.061683,0.353743,0.353743,0.269405,0.294930,0.302740,0.300440,0.292273,0.282427,Diafragmas_IDA_UX_4.4.csv
4.500000,0.069132,0.378517,0.378517,0.300927,0.330593,0.340867,0.338123,0.327960,0.316473,Diafragmas_IDA_UX_4.5.csv
4.600000,0.067224,0.385687,0.385687,0.292047,0.319450,0.329467,0.327607,0.318837,0.308760,Diafragmas_IDA_UX_4.6.csv
4.700000,0.093844,0.485510,0.485510,0.406710,0.444127,0.457947,0.456203,0.445160,0.432463,Diafragmas_IDA_UX_4.7.csv
4.800000,0.116243,0.633113,0.633113,0.502140,0.543987,0.561657,0.562333,0.551983,0.538733,Diafragmas_IDA_UX_4.8.csv
4.900000,0.174205,0.961080,0.961080,0.753067,0.809213,0.832183,0.832867,0.819000,0.801333,Diafragmas_IDA_UX_4.9.csv
5.000000,0.192492,1.037337,1.037337,0.825487,0.893907,0.923770,0.927533,0.913800,0.894567,Diafragmas_IDA_UX_5.0.csv
